year|name|hLink|date|maxWind|minPressure|deaths|damage|landfall
2013|Tropical Storm Humberto|/hurricane/at201309.asp|9/16-9/19|45|1003|0|Minimal|None
2013|Hurricane Ingrid|/hurricane/at201310.asp|9/12-9/17|85|983|23|1500|Category 1 Hurricane
2013|Tropical Storm Jerry|/hurricane/at201311.asp|9/29-10/3|50|1005|0|0|None
2013|Tropical Storm Karen|/hurricane/at201312.asp|10/03-10/6|65|999|0|Minimal|Tropical Storm
2013|Tropical Storm Lorenzo|/hurricane/at201313.asp|10/21-10/24|50|1003|0|0|None
2013|Subtropical Storm Melissa|/hurricane/at201314.asp|11/18-11/22|65|980|0|0|None
2014|Hurricane Arthur|en.wikipedia.org/wiki/Hurricane_Arthur|07/01-07/09|100|973|1|22.4|Category 2 Hurricane
2014|Hurricane Bertha|AL032014_Bertha.pdf|08/01-08/06|81|995|2|Minimal|Category 1 Hurricane
2014|Hurricane Cristobal|AL042014_Cristobal.pdf|08/23-08/29|86|965|7|unknown|Category 1 Hurricane
2014|Tropical Storm Dolly|/hurricane/at201405.asp|9/01-9/3|50|1002|1|6.5|Tropical Storm
2014|Hurricane Edouard|/hurricane/at201406.asp|9/11-9/19|115|955|0|0|Category 3 hurricane
2014|Hurricane Fay|/hurricane/at201407.asp|10/10-10/13|75|986|0|10|Category 1 hurricane
2014|Hurricane Gonzalo|/hurricane/at201408.asp|10/12-10/19|145|940|6|400|Category 4 hurricane
2014|Tropical Storm Hanna|/hurricane/at201409.asp|10/27-10/28|40|1005|0|0|Tropical Storm
2015|Tropical Storm Ana|AL012015_Ana.pdf|05/08-05/11|58|998|1|minimal|Tropical Storm
2015|Tropical Storm Bill|AL022015_Bill.pdf|06/16-06/18|58|997|2|17.9|Tropical Storm
2015|Tropical Storm Claudette|AL032015_Claudette.pdf|07/13-07/14|52|1003|0|0|Tropical Storm
2015|Hurricane Danny|AL042015_Danny.pdf|08/18-08/24|127|960|0|minimal|Category 3 Hurricane
2015|Tropical Storm Erika|AL052015_Erika.pdf|08/24-08/28|52|1001|30|511.4|Tropical Storm
2015|Hurricane Fred|AL062015_Fred.pdf|08/30-09/06|86|986|9|2.5|Category 1 Hurricane
2015|Tropical Storm Grace|AL072015_Grace.pdf|09/05-09/09|58|1000|0|0|Tropical Storm
2015|Tropical Storm Henri|AL082015_Henri.pdf|09/08-09/11|52|1003|0|0|Tropical Storm
2015|Tropical Storm Ida|/hurricane/at201510.asp|9/18-9/27|50|1003|0|0|NA
2015|Hurricane Joaquin|/hurricane/at201511.asp|9/28-10/8|155|931|34|200|Category 4 hurricane
2015|Hurricane Kate|/hurricane/at201512.asp|11/09-11/12|75|983|0|minimal|Category 1 hurricane
2016|Hurricane Alex|/hurricane/at201601.asp|1/13-1/15|85|981|1|minimal|Category 1 hurrican
2016|Tropical Storm Bonnie|/hurricane/at201602.asp|6/02-6/5|40|1006|2|0.64|Tropical Storm
2016|Tropical Storm Colin|/hurricane/at201603.asp|6/05-6/7|60|996|6|1.04|Tropical Storm
2016|Tropical Storm Danielle|/hurricane/at201604.asp|6/19-6/21|45|1007|1|minimal|NA
2016|Hurricane Earl|/hurricane/at201605.asp|8/02-8/06|75|982|94|250|Category 1 hurricane
2016|Tropical Storm Fiona|/hurricane/at201606.asp|8/17-8/23|50|1004|0|0|NA
2016|Hurricane Gaston|/hurricane/at201607.asp|8/22-9/3|120|956|0|0|Category 3 hurricane
2016|Tropical Depression Eight|/hurricane/at201608.asp|8/28-9/1|35|1010|0|0|Tropical Storm
2016|Hurricane Hermine|/hurricane/at201609.asp|8/28-9/6|80|982|4|550|Category 1 hurricane
2016|Tropical Storm Ian|/hurricane/at201610.asp|9/12-9/16|65|988|0|0|NA
2016|Tropical Storm Julia|/hurricane/at201611.asp|9/14-9/19|40|1007|0|minimal|Tropical Storm
2016|Tropical Storm Karl|/hurricane/at201612.asp|9/14-9/25|70|986|0|minimal|NA
2016|Tropical Storm Lisa|/hurricane/at201613.asp|9/19-9/25|50|999|0|0|NA
2016|Hurricane Matthew|/hurricane/at201614.asp|9/28-10/09|160|934|586|15090|Category 5 hurricane
2016|Hurricane Nicole|/hurricane/at201615.asp|10/04-10/18|135|950|1|15|Category 4 hurricane 
2016|Hurricane Otto|/hurricane/at201616.asp|11/21-11/25|110|975|23|190|Category 3 hurricane
2017|Tropical Storm Cindy|/hurricane/at201703.asp|6/20-6/22|60|992|2|unknown|Tropical Storm
2017|Tropical Depression Four|/hurricane/at201704.asp|7/06-7/07|30|1008|0|0|NA
2017|Tropical Storm Don|/hurricane/at201705.asp|7/17-7/19|50|1007|NA|NA|NA
2017|Tropical Storm Emily|/hurricane/at201706.asp|7/31-8/02|45|1005|NA|NA|NA
2017|Hurricane Franklin|/hurricane/at201707.asp|8/07-8/10|85|984|0|unknown|Category 1 hurricane
2017|Hurricane Gert|/hurricane/at201708.asp|8/13-8/17|105|967|NA|NA|NA
2017|Hurricane Harvey|/hurricane/at201709.asp|8/30-8/31|45|993|63|198600|Category 4 hurricane
2017|Hurricane Irma|/hurricane/at201711.asp|8/30-9/12|185|914|134|62870|Category 5 hurricane
2017|Hurricane Jose|/hurricane/at201712.asp|9/05-9/21|155|938|1|minimal|Category 4 hurricane
2017|Hurricane Katia|/hurricane/at201713.asp|9/05-9/09|105|972|2|unknown|Category 2 hurricane
2017|Hurricane Lee|/hurricane/at201714.asp|9/22-9/30|115|962|NA|NA|NA
2017|Hurricane Maria|/hurricane/at201715.asp|9/16-9/30|175|909|66|51200|Category 5 hurricane
2017|Hurricane Nate|/hurricane/at201716.asp|10/04-10/08|90|981|45|685|Category 1 hurricane
2017|Hurricane Ophelia|/hurricane/at201717.asp|10/09-10/16|115|960|3|1180|Category 3 hurricane
2017|Tropical Storm Philippe|/hurricane/at201718.asp|10/29-10/29|60|991|NA|NA|NA
