Date,Open,High,Low,Close,Volume
4/22/2009,231.77,231.77,219.14,219.84,"36,433,065"
4/23/2009,219.89,223.33,216.55,221.98,"26,936,966"
4/24/2009,221.99,223.97,217.7,220.69,"35,816,487"
4/27/2009,220.66,224,218.45,220.64,"25,324,478"
4/28/2009,220.63,226.33,218.64,221.81,"20,451,113"
4/29/2009,221.97,229.69,221.97,229.17,"27,624,270"
4/30/2009,229.23,229.79,224.36,225.53,"29,374,629"
5/1/2009,225.54,226.45,222.77,224.1,"21,288,426"
5/4/2009,224.23,231.2,222.28,230.35,"39,308,121"
5/5/2009,230.35,231.03,225.26,225.74,"35,669,956"
5/6/2009,225.77,230.7,224.34,230.06,"42,751,581"
5/7/2009,230.09,233.58,225.78,226.46,"37,693,199"
5/8/2009,226.53,235.54,225.89,234.7,"42,043,774"
5/11/2009,234.53,234.53,224.31,224.68,"39,966,617"
5/12/2009,224.8,230.08,223.56,226.04,"34,023,973"
5/13/2009,226.02,227.55,220.85,221.45,"32,235,818"
5/14/2009,221.44,229.87,220.72,228.87,"29,719,836"
5/15/2009,228.86,229.1,223.12,223.86,"22,846,035"
5/18/2009,223.92,233.95,223.46,233.33,"27,020,459"
5/19/2009,233.31,233.48,227.84,228.09,"22,503,311"
5/20/2009,228.11,232.35,223.61,224.25,"21,738,088"
5/21/2009,224.22,226.22,221.75,225.86,"20,870,185"
5/22/2009,225.85,229.58,224.67,226.81,"14,775,526"
5/26/2009,226.77,233.06,224.25,233.05,"21,877,187"
5/27/2009,233.09,233.14,222.34,222.46,"23,356,547"
5/28/2009,222.46,226.26,221.02,225.7,"22,016,421"
5/29/2009,225.7,229.37,223.37,229.34,"23,430,169"
6/1/2009,229.36,236.18,229.36,234.59,"25,680,000"
6/2/2009,234.59,240.63,234.44,238.72,"20,493,919"
6/3/2009,238.71,238.71,234.3,235.82,"17,152,434"
6/4/2009,235.83,239.5,235.2,239.5,"19,857,212"
6/5/2009,239.5,241.5,236.91,238.52,"32,539,567"
6/8/2009,238.5,240.45,236.31,239.26,"14,865,531"
6/9/2009,239.23,239.73,237.15,239.23,"14,756,279"
6/10/2009,239.24,240.28,236.04,237.72,"18,091,991"
6/11/2009,237.72,239.88,236.87,237.11,"14,017,847"
6/12/2009,237.09,237.09,233.65,234.92,"9,089,208"
6/15/2009,234.91,234.91,230.45,230.55,"16,231,617"
6/16/2009,230.57,232.05,227.67,227.69,"18,179,713"
6/17/2009,227.69,230.09,226.64,226.96,"18,008,888"
6/18/2009,226.95,230.22,226.67,228.46,"18,859,420"
6/19/2009,228.48,231.38,227.28,228.93,"37,840,095"
6/22/2009,228.92,228.92,223.4,223.4,"26,677,895"
6/23/2009,223.43,225.85,222.7,224.09,"19,158,019"
6/24/2009,224.11,227.02,223.75,225.36,"16,150,359"
6/25/2009,225.35,228.44,222,228.32,"16,874,049"
6/26/2009,228.25,228.25,225.75,227.1,"24,856,915"
6/29/2009,227.1,229.75,225.95,229.5,"14,044,799"
6/30/2009,229.52,229.97,225.68,229.24,"15,517,054"
7/1/2009,229.31,233.43,228.98,232.26,"15,025,809"
7/2/2009,232.21,232.21,222.62,222.62,"12,470,643"
7/6/2009,222.63,227.39,222.47,227.25,"18,049,724"
7/7/2009,227.25,227.28,221.61,221.71,"15,680,269"
7/8/2009,221.75,223.63,217.52,220.38,"23,077,645"
7/9/2009,220.4,222.63,219.61,221.15,"12,482,385"
7/10/2009,221.1,221.1,218.04,219.81,"11,869,782"
7/13/2009,219.84,229.57,219.84,229.57,"19,703,079"
7/14/2009,229.57,229.72,225.12,226.41,"14,612,403"
7/15/2009,226.42,233.42,226.42,232.31,"25,312,884"
7/16/2009,232.33,234.17,230.07,232.81,"16,300,700"
7/17/2009,232.79,232.8,230.26,230.91,"14,630,751"
7/20/2009,230.93,232.07,229.97,231.97,"13,701,164"
7/21/2009,231.99,234.95,231.99,233.65,"13,471,430"
7/22/2009,233.49,238.21,232.37,237.26,"13,418,677"
7/23/2009,237.26,243.84,236.67,243.35,"18,935,890"
7/24/2009,243.32,247.33,242.84,247.18,"11,439,798"
7/27/2009,247.17,249.58,246.69,248.78,"12,203,371"
7/28/2009,248.72,248.83,246.67,247.38,"16,914,255"
7/29/2009,247.36,247.75,244.63,245.51,"14,447,184"
7/30/2009,245.52,249.28,244.82,245.8,"17,348,438"
7/31/2009,245.78,250.83,245.57,249.52,"15,633,576"
8/3/2009,249.59,256.88,249.59,256.88,"15,935,250"
8/4/2009,256.87,262.23,256.32,262.16,"23,603,738"
8/5/2009,262.15,263.15,258.15,262.18,"23,479,714"
8/6/2009,262.13,263.98,257.54,259.6,"27,881,645"
8/7/2009,259.71,265.07,259.71,262.97,"27,826,083"
8/10/2009,262.95,263.63,258.31,260.29,"14,872,644"
8/11/2009,260.25,260.29,254.89,254.96,"18,042,749"
8/12/2009,254.91,264.23,254.8,262.32,"18,399,795"
8/13/2009,262.31,266.14,261.85,265.98,"11,216,987"
8/14/2009,265.97,266.01,261.73,263.36,"14,043,273"
8/17/2009,263.32,263.32,257.6,257.64,"17,891,099"
8/18/2009,257.65,260.2,256.63,260.18,"14,179,571"
8/19/2009,260.17,262.93,256.68,262.16,"13,192,900"
8/20/2009,262.12,264.36,261.43,263.98,"13,623,623"
8/21/2009,264.01,270.4,263.94,268.96,"20,117,149"
8/24/2009,268.97,272.18,267.85,268.3,"20,251,819"
8/25/2009,268.31,273.14,268.31,271.48,"17,971,258"
8/26/2009,271.48,272.31,268.66,271.54,"15,796,829"
8/27/2009,271.54,274.67,269.31,273.91,"29,987,204"
8/28/2009,273.91,275.9,272.12,275.01,"28,194,976"
8/31/2009,274.99,276.52,272.54,276.27,"32,882,973"
9/1/2009,276.28,277.55,268.42,268.77,"29,411,201"
9/2/2009,268.71,269.49,266.69,267.52,"19,330,771"
9/3/2009,267.58,272.03,266.71,271.87,"16,842,247"
9/4/2009,271.88,272.59,268.77,272.59,"14,585,592"
9/8/2009,272.6,273.55,269.18,271.04,"15,898,249"
9/9/2009,271.02,273.03,269.67,272.28,"16,263,677"
9/10/2009,272.28,272.83,269.11,272.54,"16,223,644"
9/11/2009,272.52,273.71,270.7,272.51,"15,301,369"
9/14/2009,272.47,274.91,270.11,274.64,"17,262,843"
9/15/2009,274.63,276.18,273.46,274.14,"19,380,450"
9/16/2009,274.1,278.63,272.79,278.42,"19,309,886"
9/17/2009,278.41,279.57,274.92,275.02,"17,620,759"
9/18/2009,275.02,276.34,273.74,274.01,"29,141,960"
9/21/2009,273.99,275.1,271.98,273.56,"15,272,122"
9/22/2009,273.58,274.96,272.03,272.91,"33,597,168"
9/23/2009,272.91,276.97,270.91,271.03,"22,228,944"
9/24/2009,271.04,274.93,269.86,269.89,"19,945,693"
9/25/2009,269.88,273.22,269.52,270.85,"16,194,695"
9/28/2009,270.86,281.1,270.86,280.91,"16,097,477"
9/29/2009,280.91,283.02,278.69,280.01,"14,720,415"
9/30/2009,280.01,282.25,276.68,278.32,"20,929,077"
10/1/2009,278.32,280.33,274.2,274.42,"23,438,357"
10/2/2009,274.4,277.76,271.13,275.02,"19,506,603"
10/5/2009,275.06,277.37,273.57,277.37,"17,754,707"
10/6/2009,277.37,281.32,277.37,280.75,"16,361,896"
10/7/2009,280.75,280.96,279.03,280.96,"13,063,784"
10/8/2009,280.98,282.76,280.39,280.67,"16,277,895"
10/9/2009,280.67,281.42,279.72,281.4,"12,882,279"
10/12/2009,281.41,282.97,281.33,282.14,"11,177,956"
10/13/2009,282.11,282.11,278.1,278.74,"16,051,168"
10/14/2009,278.75,284.57,278.75,284.31,"17,112,586"
10/15/2009,284.31,284.7,281.83,284.7,"14,955,646"
10/16/2009,284.66,284.66,279.43,281.59,"17,953,257"
10/19/2009,281.63,284.53,281.63,283.91,"12,174,778"
10/20/2009,283.9,283.96,279.86,280.21,"10,749,313"
10/21/2009,280.2,282.58,276.37,276.58,"15,178,364"
10/22/2009,276.58,286.76,276.58,286.47,"17,985,985"
10/23/2009,286.46,286.6,279.56,280.8,"18,001,942"
10/26/2009,280.81,283.38,275.97,276.7,"19,542,606"
10/27/2009,276.62,278.76,274.92,275.23,"17,715,442"
10/28/2009,275.2,276.33,270.14,270.26,"21,481,332"
10/29/2009,270.29,277.77,270.28,277.62,"22,554,447"
10/30/2009,277.65,277.65,268.3,268.61,"24,752,141"
11/2/2009,268.61,273.48,267.62,270.65,"20,551,642"
11/3/2009,270.61,271.09,267.16,270.7,"16,648,983"
11/4/2009,270.73,275.78,269.91,270.19,"29,631,298"
11/5/2009,270.2,272.38,268.76,272.12,"30,266,180"
11/6/2009,272.05,275.02,271.38,274.1,"17,674,261"
11/9/2009,274.12,281.14,274.12,281.11,"19,723,917"
11/10/2009,281.08,281.56,279.39,279.78,"37,007,624"
11/11/2009,279.82,282.79,279.82,282.03,"27,027,587"
11/12/2009,282.04,282.04,277.16,277.69,"16,551,010"
11/13/2009,277.71,280.75,277.46,278.91,"17,577,986"
11/16/2009,278.92,281.64,278.92,280.32,"17,356,603"
11/17/2009,280.31,282.04,279.83,281.56,"17,292,088"
11/18/2009,281.55,282.01,280.44,281.03,"26,414,967"
11/19/2009,281.03,281.03,276.58,278.01,"18,086,849"
11/20/2009,278,278,275.64,276.87,"17,848,426"
11/23/2009,276.89,280.72,276.89,279.11,"12,632,872"
11/24/2009,279.11,279.23,277.17,278.46,"14,091,076"
11/25/2009,278.48,279.47,277.87,278.49,"11,335,807"
11/27/2009,278.22,278.22,271.4,271.5,"10,648,414"
11/30/2009,271.46,275.29,271.1,274.92,"20,954,611"
12/1/2009,274.94,277.13,274.94,276.17,"18,923,728"
12/2/2009,276.17,277.58,274.98,275.69,"12,816,866"
12/3/2009,275.69,277.43,271.14,271.6,"19,603,923"
12/4/2009,271.69,275.42,269.36,273.09,"18,472,129"
12/7/2009,273.09,274.07,271.65,272.05,"13,579,301"
12/8/2009,272.05,272.06,269.28,269.9,"14,414,585"
12/9/2009,269.92,271.31,269.14,271.03,"12,668,155"
12/10/2009,271.03,273.29,271.03,272.92,"14,047,351"
12/11/2009,272.93,275.1,272.72,275.05,"14,714,028"
12/14/2009,275.07,276.81,274.72,276.81,"14,139,714"
